,x,y
장승배기,37.5777569,127.0279303
신대방삼거리,37.5812094,127.0277937
보라매,37.5764547,127.0365908
신풍,37.5757008,127.0324424
남구로,37.5755711,127.0413978
철산,37.5749266,127.0404721
광명사거리,37.5981437,127.0556804
천왕,37.604694,127.061856
까치울,37.5953466,127.0633266
부천종합운동장,37.5942077,127.0565432
춘의,37.5714298,127.0691845
신중동,37.56136882,127.069915
부천시청,37.5750974,127.0716385
상동,37.5624751,127.068481
삼산체육관,37.5675314,127.0679799
굴포천,37.5687605,127.0687887
암사,37.5706525,127.0695655
강동구청,37.5653968,127.063318
몽촌토성,37.5694129,127.0714261
석촌,37.5691153,127.0693412
송파,37.5636962,127.0632703
문정,37.5795082,127.0595942
장지,37.5748739,127.0458603
산성,37.59099732,127.037913
남한산성입구,37.5861694,127.0343529
단대오거리,37.5851525,127.0414719
신흥,37.588107,127.0354986
수진,37.5786393,127.0331255
귤현,37.59377476,127.0507412
임학,37.5915842,127.0528759
계산,37.5896514,127.0568
경인교대입구,37.5878699,127.0562145
작전,37.5831305,127.0685848
갈산,37.5121743,126.940416
부평시장,37.508468,126.940322
동수,37.511871,126.938996
부평삼거리,37.5121963,126.938278
간석오거리,37.513322,126.941961
예술회관,37.507305,126.945191
인천터미널,37.499963,126.928375
문학경기장,37.499478,126.920624
선학,37.51177,126.931769
신연수,37.504457,126.925178
동춘,37.499472,126.927896
동막,37.496395,126.982358
캠퍼스타운,37.5034647,126.9799265
테크노파크,37.482866,126.980792
지식정보단지,37.479992,126.980862
인천대입구,37.490987,126.9810987
검단오류,37.491106,126.98139
왕길,37.492259,126.979293
검단사거리,37.484188,126.977413
마전,37.4906466,126.9722542
독정,37.487782,126.964858
검바위,37.485349,126.969991
아시아드경기장,37.483025,126.971131
서구청,37.504843,126.933983
가정,37.498737,126.9454468
가정중앙시장,37.504992,126.9415119
석남,37.498939,126.943725
서부여성회관,37.499176,126.933023
인천가좌,37.505014,126.94192
가재울,37.494583,126.960557
주안국가산단,37.496883,126.925581
시민공원,37.497673,126.924291
석천사거리,37.491283,126.9241
모래내시장,37.507371,126.962857
만수,37.507377,126.958389
남동구청,37.550211,126.951162
인천대공원,37.553922,126.933907
운연,37.555598,126.93394
개화,37.547433,126.919899
공항시장,37.540322,126.948562
신방화,37.538445,126.9606
마곡나루,37.541262,126.948967
양천향교,37.55903,126.924825
가양,37.555663,126.897767
증미,37.55864,126.900168
등촌,37.557904,126.907252
